"TimeStamp","all_..idle","X..memused","proc.s","cswch.s","file.nr","sum_intr.s","ldavg.1","tcpsck","pgfree.s"
1409264779,0,73.03,47,62683,2496,15802,64.17,50,81151
1409264780,0,73.04,3,67595,2496,16139,64.17,50,78868
1409264781,0,73.05,0,69495,2496,15753,66.15,49,79990
1409264782,0,73.06,0,67977,2496,15849,66.15,48,78462
1409264783,0,73.06,0,69409,2496,15789,66.15,44,79337
1409264784,0,73.07,0,66965,2496,15821,66.15,43,71966
1409264785,0,73.08,9,65173,2496,15998,66.15,44,77254
1409264786,0,73.04,0,64548,2496,15884,67.42,43,76346
1409264787,0,73.06,0,65286,2496,17025,67.42,42,72975
1409264788,0,73.13,18,65585,2496,17425,67.42,44,74685
1409264789,0,73.09,4,65410,2496,15963,67.42,43,80694
1409264790,0,73.09,0,68355,2496,15944,67.42,43,75107
1409264791,0,73.11,0,61881,2496,15875,68.51,42,83856
1409264792,0,73.12,3,64836,2496,15820,68.51,42,85047
1409264793,0,73.13,25,63922,2544,16099,68.51,45,82697
1409264794,0,73.16,18,63732,2544,15937,68.51,44,81603
1409264795,0,73.18,35,63693,2640,16306,68.51,44,84410
1409264796,0,73.17,14,65523,2640,16627,69.59,45,87617
1409264797,0,73.19,3,59494,2640,16391,69.59,46,82179
1409264798,0,73.27,15,60562,2640,18170,69.59,48,77849
1409264799,0,73.29,9,62612,2640,16827,69.59,48,81799
1409264800,0,73.3,0,69145,2640,16328,69.59,48,80196
1409264801,0,73.33,9,68023,2640,16316,71.87,50,76653
1409264802,0,73.35,9,66568,2640,16272,71.87,49,83514
1409264803,0,73.36,0,66736,2640,16320,71.87,49,84928
1409264804,0,73.34,0,66826,2640,16012,71.87,50,94923
1409264805,0,73.38,13,64103,2640,16822,71.87,50,83546
1409264806,0,73.4,3,66190,2640,15875,73.24,50,81732
1409264807,0,73.37,6,67955,2640,16002,73.24,49,90453
1409264808,0,73.38,12,63768,2640,15847,73.24,51,75909
1409264809,0,73.39,16,67233,2640,15988,73.24,51,75225
1409264810,0,73.41,28,66217,2640,16118,73.24,51,83228
1409264811,0,73.41,3,66649,2640,15577,74.42,51,84539
1409264812,0,73.39,0,68735,2640,15815,74.42,50,85761
1409264813,0,73.4,9,68323,2640,15937,74.42,51,76437
1409264814,0,73.48,21,66894,2640,18320,74.42,53,71033
1409264815,0,73.49,6,72140,2640,16389,74.42,53,77495
1409264816,0,73.46,0,72150,2640,16269,75.59,52,84939
1409264817,0,73.48,8,68966,2640,16144,75.59,53,81302
1409264818,0,73.52,1,65058,2640,15789,75.59,53,75972
1409264819,0,73.49,0,71509,2640,16142,75.59,54,86817
1409264820,0,73.49,13,74933,2640,16176,75.59,54,78937
